ciudad,precio,lat,lon
Ucú,538.461538,21.029018, -89.746589
Palenque,2876.322386,17.524057, -91.986077
Yaxcabá,2500.000000,20.549588, -88.826170
Quitupan,2500.000000,19.926653, -102.877518
Atempan,2000.575722,19.840726, -97.457163
Aquismón,2000.000000,21.748112, -99.063583
Batopilas,2000.000000,26.924506, -107.667332
Huimanguillo,1907.406062,17.836109, -93.390358
Izamal,1818.181818,20.933072, -89.017001
Cacalchén,1600.000000,20.983597, -89.243155
Santa Isabel Xiloxoxtla,14.400000,19.263502, -98.207106
Ahuazotepec,16.000000,20.056549, -98.136978
Mazatepec,17.500000,18.687555, -99.358447
Escárcega,18.329466,18.604170, -90.731918
Villa Purificación,20.000000,19.823208, -104.732738
Tecali de Herrera,20.833333,18.909341, -97.973713
Apazapan,20.887728,19.343359, -96.694734
Cansahcab,22.266667,21.167601, -89.065961
Villa de Tezontepec,22.500000,19.914402, -98.800311
Oluta,23.333333,17.895934, -94.904868
