ciudad,precio,lat,lon
Alvaro Obregón,530.740648,19.349565,-99.243546
zcapotzalco,336.465574,19.485371,-99.183119
Benito Juárez,557.855316,19.380225,-99.162659
Coyoacán,441.245333,19.326411,-99.148900
Cuajimalpa de Morelos,538.101366,19.337406,-99.306165
Cuauhtémoc,572.807440,19.430726,-99.148579
Gustavo A. Madero,336.232178,19.494131,-99.117278
Iztacalco,327.958374,19.391351,-99.100440
Iztapalapa,282.910766,19.347089,-99.044993
La Magdalena Contreras,454.625655,19.279579,-99.264847
Miguel Hidalgo,628.862064,19.429402,-99.201563
Milpa Alta,172.399404,19.190617,-99.025469
Tlalpan,404.110184,19.208237,-99.201725
Tláhuac,221.319507,19.283669,-99.005658
Venustiano Carranza,318.599875,19.430451,-99.093758
Xochimilco,330.140011,19.245709,-99.092569
