ciudad,precio,lat,lon
Alvaro Obregón,28367.96,19.349565,-99.243546
Azcapotzalco,17067.31,19.485371,-99.183119
Benito Juárez,27400.67,19.380225,-99.162659
Coyoacán,20233.61,19.326411,-99.148900
Cuajimalpa de Morelos,29776.08,19.337406,-99.306165
Cuauhtémoc,28659.85,19.430726,-99.148579
Gustavo A. Madero,15438.48,19.494131,-99.117278
Iztacalco,14971.74,19.391351,-99.100440
Iztapalapa,12231.45,19.347089,-99.044993
La Magdalena Contreras,23727.43,19.279579,-99.264847
Miguel Hidalgo,32643.64,19.429402,-99.201563
Milpa Alta,10099.38,19.190617,-99.025469
Tlalpan,20441.77,19.208237,-99.201725
Tláhuac,10808.92,19.283669,-99.005658
Venustiano Carranza,15211.86,19.430451,-99.093758
Xochimilco,16195.62,19.245709,-99.092569
