ciudad,precio,lat,lon
Alvaro Obregón,22246.23,19.349565,-99.243546
zcapotzalco,16101.66,19.485371,-99.183119
Benito Juárez,25763.67,19.380225,-99.162659
Coyoacán,21743.61,19.326411,-99.148900
Cuajimalpa de Morelos,19636.08,19.337406,-99.306165
Cuauhtémoc,29455.85,19.430726,-99.148579
Gustavo A. Madero,17006.48,19.494131,-99.117278
Iztacalco,16451.74,19.391351,-99.100440
Iztapalapa,14520.45,19.347089,-99.044993
La Magdalena Contreras,19553.43,19.279579,-99.264847
Miguel Hidalgo,24219.01,19.429402,-99.201563
Milpa Alta,10099.38,19.190617,-99.025469
Tlalpan,18346.97,19.208237,-99.201725
Tláhuac,10200.56,19.283669,-99.005658
Venustiano Carranza,16294.03,19.430451,-99.093758
Xochimilco,15468.16,19.245709,-99.092569
