ciudad,precio,lat,lon
Chapultepec,25845.53,19.202361, -99.555682
Huixquilucan,23785.01,18.941060, -99.940372
Ixtapan de la Sal,21693.12,19.262294, -100.263936
Naucalpan de Juárez,20144.03,19.475482, -99.254895
San Mateo Atenco,15333.14,19.279820, -99.548012
Tlalnepantla de Baz	,15037.53,19.552307, -99.193937
Acambay,14814.81,19.957364, -99.844897
Atizapán de Zaragoza,14740.41,19.570423, -99.253729
Coyotepec,14181.82,19.779499, -99.210581
Atizapán,12438.70,19.177601, -99.502915
Acolman,4474.90,19.640027, -98.912765
Ecatzingo,5166.67,18.966930, -98.750027
San Antonio la Isla	,5328.00,19.164466, -99.565091
Ocoyoacac,5517.24,19.268587, -99.461890
Jaltenco,5821.10,19.754257, -99.093501
Teoloyucan,6011.42,19.753802, -99.169100
Tultepec,6083.48,19.690762, -99.123847
Valle de Chalco Solidaridad,6209.83,19.284363, -98.951344
Ixtapaluca,6668.23,19.320794, -98.907785
Chimalhuacán,6744.55,19.416398, -98.956279
