ciudad,precio,lat,lon
Quitupan,2500.000000,19.928038, -102.875705
ácatlán de Juárez,898.852321,20.424113, -103.593812
Yahualica de González Gallo,833.333333,21.181890, -102.883938
Atengo,803.274419,20.273527, -104.236754
Villa Corona,732.987449,20.417301, -103.667122
Ahualulco de Mercado,507.521008,20.701310, -103.975075
Zapotlanejo,499.075654,20.624517, -103.058458
Zacoalco de Torres,444.180847,20.227339, -103.568658
Tequila,415.616818,20.881273, -103.834123
Ameca,377.058546,20.518128, -104.060090
Villa Purificación,20.000000,19.719034, -104.604874
Cuautitlán de García Barragán,63.333333,19.451265, -104.359535
Colotlán,68.576966,22.114159, -103.267937
Cocula,89.295775,20.367230, -103.826876
Concepción de Buenos Aires,89.552239,19.864759, -103.150008
Zapotiltic,95.378017,19.625594, -103.419093
Tototlán,96.364221,20.540924, -102.793305
San Gabriel,115.384615,19.747177, -103.766070
áutlán de Navarro,117.549020,19.767176, -104.366921
Mascota,126.604356,20.527374, -104.789298
