ciudad,precio,lat,lon
Atempan,280303.03,19.840888, -97.458537
Mina,66153.85,26.369131, -100.827020
Acatzingo,35757.09,18.980729, -97.782132
San Pedro Garza García,34055.92,25.644660, -100.366899
Tulum,33146.86,20.210559, -87.472906
Tamazunchale,32894.74,21.256005, -98.785909
Pesquería,32833.33,25.747575, -100.018053
Miguel Hidalgo,32643.64,19.441199, -99.200001
Pedro Escobedo,30195.00,20.501195, -100.151113
Mexquitic de Carmona,30188.91,22.271837, -101.117944
Zacatecas,1696.11,23.434719, -102.976484
Nuevo Laredo,3038.38,27.463982, -99.538397
Rafael Lara Grajales,4050.63,19.224930, -97.799220
Actopan,4177.22,20.279287, -98.948651
Silao,4314.38,20.943694, -101.431616
Acolman,4474.90,19.639380, -98.911735
Salamanca,4521.28,20.583752, -101.194979
Tepeapulco,4923.08,19.790199, -98.554033
Epazoyucan,4992.13,20.017987, -98.637292
Ahome,5157.34,25.896172, -109.256978
