ciudad,precio,lat,lon
Batopilas,100000.00,27.029354, -107.738683
Izamal,90909.09,20.933072, -89.017001
Ocosingo,50000.00,16.904856, -92.092692
Allende,45008.48,25.298319, -100.017131
Fresnillo,36666.67,23.184701, -102.874263
San Pedro Garza García,31091.84,25.644660, -100.366899
Santiago Miahuatlán,27588.24,18.544303, -97.441795
Cuauhtémoc,27411.00,19.434075, -99.151555
Benito Juárez,25747.42,19.378845, -99.162916
Apaseo el Alto,25675.00,20.456224, -100.621669
Mazatepec,875.00,18.729037, -99.365621
La Trinitaria,1142.86,16.126031, -92.047112
Sabinas,1180.17,27.871841, -101.131132
Ojinaga,1427.98,29.551159, -104.413694
Angostura,1564.52,25.366108, -108.161465
Manlio Fabio Altamirano,1697.67,19.095614, -96.333264
Aculco,1702.76,20.144372, -99.853112
Paracho,1743.59,19.643835, -102.052563
Gustavo Díaz Ordaz,1800.00,26.233814, -98.594907
Casas,1800.00,23.571048, -98.652801
