ciudad,precio,lat,lon
Villa Victoria,1393.673077,19.432347, -99.960318
Temamatla,1014.790679,19.192458, -98.872165
Ocuilan,833.333333,19.001331, -99.395016
Temascalapa	,706.090482,19.827567, -98.900682
Villa Guerrero,625.796803,18.958820, -99.639084
PolotitlAn	,590.440279,20.212129, -99.813000
Huixquilucan,463.490428,19.359627, -99.348022
Tepetlaoxtoc,437.199361,19.549185, -98.751562
Texcaltitlán,418.181818,18.941060, -99.940372
Ixtapan del Oro,400.854701,19.262294, -100.263936
Donato Guerra,25.600000,19.318830, -100.122605
Santo Tomás,29.000000,19.183768, -100.260332
Almoloya del Río,50.909091,19.160158, -99.497483
Tequixquiac,75.285714,19.908991, -99.127598
Tianguistenco,76.141885,19.181299, -99.453309
Ayapango,85.000000,19.128843, -98.802376
Axapusco,86.250000,19.725560, -98.749092
San José del Rincón,95.000000,19.624994, -100.130263
Ecatzingo,103.333333,18.966818, -98.747287
Ixtlahuaca,107.590220,19.571302, -99.764743
