ciudad,precio,lat,lon
Huixquilucan,21708.48,19.359627, -99.348022
Texcaltitlán,20909.09,18.941060, -99.940372
Ixtapan del Oro,20042.74,19.262294, -100.263936
Malinalco,18637.67,18.944931, -99.496135
Chiconcuac,18550.72,19.563372, -98.900359
Naucalpan de Juárez,18215.65,19.475482, -99.254895
Valle de Bravo,17783.32,19.167804, -100.128389
Atizapán de Zaragoza,15837.24,19.570423, -99.253729
Isidro Fabela,15773.81,19.556532, -99.453981
Tenancingo,15661.25,18.968419, -99.586123
Aculco,1702.76,20.146926, -99.844857
Coyotepec,2939.39,19.780791, -99.211610
PolotitlAn,3235.29,20.227575, -99.810871
Tequixquiac,3764.29,19.902589, -99.142748
Jiquipilco,3854.62,19.555527, -99.609133
Axapusco,4312.50,19.727170, -98.757374
Temascalapa,5003.83,19.829400, -98.903270
Tonanitla,5310.61,19.681278, -99.060355
Tejupilco,5444.44,18.911671, -100.150010
Valle de Chalco Solidaridad,6023.70,19.284685, -98.945851
