ciudad,precio,lat,lon
Mina,1323.076923,26.002003, -100.530713
Villaldama,1100.000000,26.500792, -100.429161
Gral. Treviño,800.000000,26.222224, -99.486345
San Pedro Garza García,665.943734,25.647250, -100.369048
Los Herreras,644.827586,25.909158, -99.402690
Salinas Victoria,633.731646,25.963636, -100.293358
Allende,523.514379,25.290972, -100.020458
Montemorelos,412.206893,25.185492, -99.834157
AnAhuac,404.769536,27.239341, -100.137007
Dr. González,332.130282,25.856636, -99.945477
Hidalgo,36.875000,25.971613, -100.452613
Los Ramones,42.756554,25.698700, -99.624870
Cerralvo,58.000000,26.080220, -99.603221
Higueras,73.697556,25.960711, -100.017065
Dr. Arroyo,83.601286,23.866179, -100.290265
Gral. Bravo,111.111111,25.793279, -99.177840
Juárez,128.655724,25.648857, -100.095698
Rayones,140.000000,25.017164, -100.074283
Apodaca,145.488995,25.753072, -100.195971
Sabinas Hidalgo,146.075000,26.504582, -100.180327
