ciudad,precio,lat,lon
Mina,66153.85,26.369131, -100.827020
San Pedro Garza García,34055.92,25.644660, -100.366899
Pesquería,32833.33,25.747575, -100.018053
Santa Catarina,23912.53,25.681461, -100.458340
Monterrey,20799.49,25.718911, -100.346914
Santiago,18416.77,25.429001, -100.159078
San Nicolás de los Garza,11643.99,25.734506, -100.259293
Guadalupe,10775.27,25.679904, -100.217984
Montemorelos,8250.00,25.182679, -99.836172
Apodaca,7007.99,25.753072, -100.195971
Gral. Escobedo,6254.17,25.801168, -100.311449
