ciudad,precio,lat,lon
Allende,45008.48,25.298319, -100.017131
San Pedro Garza García,31091.84,25.647250, -100.369048
AnAhuac,21349.72,27.239341, -100.137007
Monterrey,14707.79,25.718911, -100.346914
Marín,12941.18,25.880538, -100.032234
Santiago,12015.56,25.429001, -100.159078
Santa Catarina,11646.83,25.681461, -100.458340
Pesquería,10759.76,25.747566, -100.015304
San Nicolás de los Garza,9723.52,25.734506, -100.259293
Guadalupe,9092.34,25.679904, -100.217984
Cerralvo,2900.00,26.080220, -99.603221
Salinas Victoria,3684.74,25.961135, -100.294821
Carmen,4610.24,25.942173, -100.358223
Juárez,5303.83,25.648857, -100.095698
Cadereyta Jiménez,5538.77,25.596602, -99.989062
Gral. Bravo,5555.56,25.793279, -99.177840
Ciénega de Flores,6388.13,25.961728, -100.166085
Montemorelos,6559.43,25.182679, -99.836172
Apodaca,6790.30,25.753072, -100.195971
Rayones,7000.00,25.017164, -100.074283
