ciudad,precio,lat,lon
Amealco de Bonfil,136.010915,20.188745, -100.147931
Arroyo Seco,190.513831,21.547936, -99.688747
Cadereyta de Montes,203.024877,20.694958, -99.818257
Colón,382.671854,20.781291, -100.047825
Corregidora	,197.112230,20.534048, -100.445159
El Marqués,236.515108,20.706858, -100.280231
Ezequiel Montes,152.497961,20.665090, -99.898857
Huimilpan,209.724728,20.374139, -100.276218
Jalpan de Serra,50.133333,21.216800, -99.472603
Pedro Escobedo,228.411656,20.500587, -100.146193
Pinal de Amoles,130.000000,21.136104, -99.626596
Querétaro,228.717883,20.605549, -100.406514
San Joaquín,108.504399,20.914606, -99.567737
San Juan del Río,187.045518,20.400009, -99.989433
Tequisquiapan,173.584436,20.526031, -99.894231
Tolimán,836.111111,20.932740, -99.945654
