ciudad,precio,lat,lon
Amealco de Bonfil,6094.99,20.188745, -100.147931
Arroyo Seco,9525.69,21.547936, -99.688747
Cadereyta de Montes,9781.49,20.694958, -99.818257
Colón,13651.29,20.781291, -100.047825
Corregidora	,9976.97,20.534048, -100.445159
El Marqués,12149.38,20.706858, -100.280231
Ezequiel Montes,10905.89,20.665090, -99.898857
Huimilpan,11959.99,20.374139, -100.276218
Pedro Escobedo,3336.54,20.500587, -100.146193
Pinal de Amoles,6500.00,21.136104, -99.626596
Querétaro,11444.66,20.605549, -100.406514
San Joaquín,5425.22,20.914606, -99.567737
San Juan del Río,11444.66,20.400009, -99.989433
Tequisquiapan,8960.52,20.526031, -99.894231
Tolimán,6666.67,20.932740, -99.945654
